index,depth,file,result,hash,total_meas,measurements,img_width,img_height,n_two_qubit_gates,n_one_qubit_gates,amount_gates,file_size_bytes,n_barriers
321,3,./data/images/321.png,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",b04aa2801d6c10b6c8d02b5d85600af1,2,"[1, 4]",244,339,0,2,"{""id"": 1, ""x"": 1}",7775,0
322,2,./data/images/322.png,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",a5b2bcdb50db091304d04f82f9184176,2,"[2, 3]",196,339,0,2,"{""id"": 1, ""x"": 1}",7571,0
323,2,./data/images/323.png,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2f9f627fb47eda264dfa1ca38697ff44,2,"[2, 4]",196,339,0,2,"{""id"": 1, ""x"": 1}",7553,0
324,2,./data/images/324.png,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",d503c18e1c6bd92ec5b8bf2f9270d161,2,"[3, 4]",196,339,0,2,"{""id"": 1, ""x"": 1}",7468,0
325,3,./data/images/325.png,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",718f490c233185f570e25c49a903541c,3,"[0, 1, 2]",292,339,0,2,"{""id"": 1, ""x"": 1}",9272,0
326,3,./data/images/326.png,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",27e77232fb9b5eff5ab6dd910c73ea7b,3,"[0, 1, 3]",292,339,0,2,"{""id"": 1, ""x"": 1}",9274,0
327,3,./data/images/327.png,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",9ac10ed82b9645af8f4b0e832a6ab670,3,"[0, 1, 4]",292,339,0,2,"{""id"": 1, ""x"": 1}",9240,0
328,2,./data/images/328.png,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",d5f3c106b8c8a00e234b376bc563da73,3,"[0, 2, 3]",244,339,0,2,"{""id"": 1, ""x"": 1}",9053,0
329,2,./data/images/329.png,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",26ea88e1137d6c595680100a7c73703e,3,"[0, 2, 4]",244,339,0,2,"{""id"": 1, ""x"": 1}",9059,0
330,2,./data/images/330.png,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",a2144d4d94402cf8081c072d8b2a742a,3,"[0, 3, 4]",244,339,0,2,"{""id"": 1, ""x"": 1}",9042,0
331,3,./data/images/331.png,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",400ceec42f9c6df7dc89cfef9c9fdb35,3,"[1, 2, 3]",244,339,0,2,"{""id"": 1, ""x"": 1}",8951,0
332,3,./data/images/332.png,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",542d48bbddb04feb26c7a02365375fc7,3,"[1, 2, 4]",244,339,0,2,"{""id"": 1, ""x"": 1}",8934,0
333,3,./data/images/333.png,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",66e92b60d46616dacde522f8cd68ad6a,3,"[1, 3, 4]",244,339,0,2,"{""id"": 1, ""x"": 1}",8914,0
334,2,./data/images/334.png,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",7f654b9ba27c159619b0102a9af56b0d,3,"[2, 3, 4]",244,339,0,2,"{""id"": 1, ""x"": 1}",8863,0
335,3,./data/images/335.png,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",f9023f8cdbc9831a9de770775ee8a70f,4,"[0, 1, 2, 3]",292,339,0,2,"{""id"": 1, ""x"": 1}",10293,0
336,3,./data/images/336.png,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0ee6112c00d7a79b73ba438e829b8628,4,"[0, 1, 2, 4]",292,339,0,2,"{""id"": 1, ""x"": 1}",10324,0
337,3,./data/images/337.png,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",d48bba58face78efd860fa2086f61141,4,"[0, 1, 3, 4]",292,339,0,2,"{""id"": 1, ""x"": 1}",10319,0
338,2,./data/images/338.png,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",f5be3b329b5b9c4b98f59614ff6bfcc6,4,"[0, 2, 3, 4]",292,339,0,2,"{""id"": 1, ""x"": 1}",10312,0
339,3,./data/images/339.png,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",dd05351f29cd29360cd74aea553c06f2,4,"[1, 2, 3, 4]",292,339,0,2,"{""id"": 1, ""x"": 1}",10212,0
340,3,./data/images/340.png,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",e22e48f86352ff1d142b6ce15a3c40c0,5,"[0, 1, 2, 3, 4]",340,339,0,2,"{""id"": 1, ""x"": 1}",11607,0
341,7,./data/images/341.png,"[0.069, 0.931, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",ddc98fb9721b18cda967fb7f60251d74,1,[0],485,339,0,20,"{""z"": 5, ""ry"": 4, ""x"": 6, ""h"": 5}",13888,0
342,7,./data/images/342.png,"[0.149, 0.851, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",b5bc58ae14cf6c9661c01aa889d37c04,1,[1],485,339,0,20,"{""z"": 5, ""ry"": 4, ""x"": 6, ""h"": 5}",13738,0
343,8,./data/images/343.png,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2b64d2292f48e3aafeedca41f78cf4af,1,[2],485,339,0,20,"{""z"": 5, ""ry"": 4, ""x"": 6, ""h"": 5}",13600,0
344,7,./data/images/344.png,"[0.359, 0.641, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",16b4233902282cd2142db97618d48551,1,[3],437,339,0,20,"{""z"": 5, ""ry"": 4, ""x"": 6, ""h"": 5}",13344,0
345,7,./data/images/345.png,"[0.069, 0.931, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",5613f5b3589247abe78258e7b7027482,1,[4],437,339,0,20,"{""z"": 5, ""ry"": 4, ""x"": 6, ""h"": 5}",13290,0
346,7,./data/images/346.png,"[0.01, 0.061, 0.16, 0.769, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",ed83d109372c8cb546c12c9b9ddbf554,2,"[0, 1]",534,339,0,20,"{""z"": 5, ""ry"": 4, ""x"": 6, ""h"": 5}",15156,0
347,8,./data/images/347.png,"[0.068, 0.932, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3bcb4d65a8008315fd2cb186369b8e46,2,"[0, 2]",534,339,0,20,"{""z"": 5, ""ry"": 4, ""x"": 6, ""h"": 5}",15139,0
348,7,./data/images/348.png,"[0.035, 0.036, 0.342, 0.587, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",ef732c512147ddf4ae1228c0eb269b48,2,"[0, 3]",485,339,0,20,"{""z"": 5, ""ry"": 4, ""x"": 6, ""h"": 5}",15020,0
349,7,./data/images/349.png,"[0.057, 0.009, 0.051, 0.883, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",fc8d5d349b25bcd22222a33df0708d01,2,"[0, 4]",485,339,0,20,"{""z"": 5, ""ry"": 4, ""x"": 6, ""h"": 5}",14986,0
350,8,./data/images/350.png,"[0.155, 0.845, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",35851f04318dc70944bfff789ae7d05a,2,"[1, 2]",534,339,0,20,"{""z"": 5, ""ry"": 4, ""x"": 6, ""h"": 5}",14979,0
351,7,./data/images/351.png,"[0.561, 0.288, 0.049, 0.102, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",8cfcece6f40f6df086b6873291c2db85,2,"[1, 3]",485,339,0,20,"{""z"": 5, ""ry"": 4, ""x"": 6, ""h"": 5}",14836,0
352,7,./data/images/352.png,"[0.043, 0.14, 0.01, 0.807, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",02f24142c30947be6ee28f30dd2d3ccf,2,"[1, 4]",485,339,0,20,"{""z"": 5, ""ry"": 4, ""x"": 6, ""h"": 5}",14836,0
353,8,./data/images/353.png,"[0.62, 0.38, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",163021a7d7890ccf95b8706d2e538b04,2,"[2, 3]",485,339,0,20,"{""z"": 5, ""ry"": 4, ""x"": 6, ""h"": 5}",14739,0
354,8,./data/images/354.png,"[0.069, 0.931, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",a9e7e6431fa0ed24718d600b3c6fff73,2,"[2, 4]",485,339,0,20,"{""z"": 5, ""ry"": 4, ""x"": 6, ""h"": 5}",14702,0
355,7,./data/images/355.png,"[0.04, 0.011, 0.336, 0.613, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",87bd59b33b0f695d719471ac21116195,2,"[3, 4]",437,339,0,20,"{""z"": 5, ""ry"": 4, ""x"": 6, ""h"": 5}",14471,0
356,8,./data/images/356.png,"[0.011, 0.065, 0.149, 0.775, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3562b5ce938bf8cdce1a457a38667c27,3,"[0, 1, 2]",582,339,0,20,"{""z"": 5, ""ry"": 4, ""x"": 6, ""h"": 5}",16393,0
357,7,./data/images/357.png,"[0.002, 0.007, 0.038, 0.029, 0.501, 0.108, 0.036, 0.279, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",a41d3024ad072ce89dda2c916bea35f6,3,"[0, 1, 3]",534,339,0,20,"{""z"": 5, ""ry"": 4, ""x"": 6, ""h"": 5}",16286,0
358,7,./data/images/358.png,"[0.001, 0.011, 0.006, 0.003, 0.049, 0.043, 0.137, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2e27396a0a47746309e5b6b489d8250d,3,"[0, 1, 4]",534,339,0,20,"{""z"": 5, ""ry"": 4, ""x"": 6, ""h"": 5}",16286,0
359,8,./data/images/359.png,"[0.034, 0.048, 0.572, 0.346, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",d1ac33d2645960b80222212bdf4ea548,3,"[0, 2, 3]",534,339,0,20,"{""z"": 5, ""ry"": 4, ""x"": 6, ""h"": 5}",16296,0
360,8,./data/images/360.png,"[0.002, 0.078, 0.041, 0.879, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6e8b4ac25c9dfcf69ebafdc075ace502,3,"[0, 2, 4]",534,339,0,20,"{""z"": 5, ""ry"": 4, ""x"": 6, ""h"": 5}",16267,0
361,7,./data/images/361.png,"[0.002, 0.004, 0.047, 0.023, 0.035, 0.291, 0.572, 0.026, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",951cdef37b2a49b008df81477ff72b65,3,"[0, 3, 4]",485,339,0,20,"{""z"": 5, ""ry"": 4, ""x"": 6, ""h"": 5}",16141,0
362,8,./data/images/362.png,"[0.031, 0.099, 0.301, 0.569, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",dee8046c911d327ebf30b65bb2ffc905,3,"[1, 2, 3]",534,339,0,20,"{""z"": 5, ""ry"": 4, ""x"": 6, ""h"": 5}",16106,0
363,8,./data/images/363.png,"[0.013, 0.05, 0.155, 0.782, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",e1d64b33e28ee56c9730a243114551c5,3,"[1, 2, 4]",534,339,0,20,"{""z"": 5, ""ry"": 4, ""x"": 6, ""h"": 5}",16104,0
364,7,./data/images/364.png,"[0.003, 0.003, 0.018, 0.03, 0.513, 0.279, 0.062, 0.092, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",a746d1a409b45db1b2342d54dbae011d,3,"[1, 3, 4]",485,339,0,20,"{""z"": 5, ""ry"": 4, ""x"": 6, ""h"": 5}",15958,0
365,8,./data/images/365.png,"[0.035, 0.023, 0.337, 0.605, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",046f9939a75f6af9e634fedd0fe4c1ae,3,"[2, 3, 4]",485,339,0,20,"{""z"": 5, ""ry"": 4, ""x"": 6, ""h"": 5}",15872,0
